Date,Open,High,Low,Close,Adj Close,Volume
2003-01-03,12.5396,12.7845,12.3437,12.4906,5.816271,158998444
2003-01-06,12.5886,12.9314,12.3926,12.7845,5.953126,105241138373
2003-01-07,12.9314,13.3723,12.7845,12.8825,5.99876,117391325104
2003-01-08,12.8825,13.3723,12.7845,13.1764,6.135616,102626562
2003-01-09,13.2254,13.5682,12.6865,13.0784,6.089982,88036244
2003-01-10,12.7845,13.0294,12.6376,12.8335,5.975943,51330297332
2003-01-13,12.8335,12.9314,12.5886,12.7845,5.953126,59967244409
2003-01-14,12.8335,13.0294,12.6376,12.7845,5.953126,68490623253
2003-01-15,12.7845,12.8825,12.4906,12.5396,5.839089,47733233
2003-01-16,12.6865,13.3723,12.6865,13.1764,6.135616,178198650
2003-01-17,13.4213,13.4213,12.8825,12.9804,6.044348,58167243332
2003-01-20,13.1274,13.2743,12.9804,13.2743,6.181202,37678714308
2003-01-21,13.2743,13.5192,12.9804,13.0294,6.067165,121109410846
2003-01-22,12.9804,13.3233,12.7845,13.3233,6.204021,48416545
2003-01-23,13.3233,14.205,13.2743,14.205,6.614586,181705045
2003-01-24,14.205,14.205,13.8132,13.8132,6.432142,102882517
2003-01-27,13.7642,13.9111,13.0784,13.2743,6.181202,58773148
2003-01-28,13.2743,14.0091,13.2254,13.7152,6.38651,64753445
2003-01-29,13.7152,13.7152,13.7152,13.7152,6.38651,0
2003-01-30,13.7152,13.7152,13.7152,13.7152,6.38651,0
2003-01-31,13.7152,13.7152,13.7152,13.7152,6.38651,0
2003-02-03,13.7152,13.7152,13.7152,13.7152,6.38651,0
2003-02-04,13.7152,13.7152,13.7152,13.7152,6.38651,0
2003-02-05,13.7152,13.7152,13.7152,13.7152,6.38651,0
2003-02-06,13.7152,13.7152,12.7845,12.7845,5.953126,70267541
2003-02-07,12.7845,12.9314,11.9028,12.1477,5.6566,94978637631
2003-02-10,11.9028,12.0498,11.364,11.364,5.291668,62490133661
2003-02-11,11.6579,11.7559,11.413,11.511,5.360119,48238833
2003-02-12,11.413,11.8048,11.413,11.6579,5.428523,33301997
2003-02-13,11.5599,11.6579,11.0211,11.0701,5.154813,41973102856
2003-02-14,11.2171,11.2661,10.8742,11.0211,5.131996,32443707487
2003-02-17,11.364,11.511,11.2661,11.462,5.337302,37808156950
2003-02-18,11.462,11.462,10.9721,10.9721,5.10918,30555848546
2003-02-19,11.0701,11.2171,10.7272,10.8252,5.040775,43519808909
2003-02-20,10.8252,10.9232,10.4333,10.5313,4.90392,41423525
2003-02-21,10.5313,10.7762,10.4823,10.6783,4.972371,26516452
2003-02-24,10.8252,10.9232,10.6783,10.9232,5.086408,18110119
2003-02-25,10.8252,10.8252,10.4333,10.4823,4.881103,24206467
2003-02-26,10.5313,10.6783,10.4333,10.5313,4.90392,18558615
2003-02-27,10.5313,10.8252,10.4823,10.6293,4.949554,32074976
2003-02-28,10.6293,10.6293,10.6293,10.6293,4.949554,0
2003-03-03,10.7762,10.8742,10.6783,10.7762,5.017959,22546279109
2003-03-04,10.6293,10.7762,10.6293,10.7762,5.017959,17378584
2003-03-05,10.7762,10.8742,10.5803,10.6293,4.949554,16841344391
2003-03-06,10.7272,10.7762,10.4823,10.5313,4.90392,20806474
2003-03-07,10.4333,10.6783,10.3354,10.6293,4.949554,15738221708
2003-03-10,10.6783,10.6783,10.4333,10.4823,4.881103,11493356
2003-03-11,10.3843,10.4333,9.79656,9.99249,4.653021,46187503
2003-03-12,9.99249,9.99249,9.79656,9.99249,4.653021,19223580
2003-03-13,9.99249,10.3354,9.89452,10.1884,4.744248,21132731382
2003-03-14,10.5313,10.6783,10.4333,10.5803,4.926737,30571782
2003-03-17,10.3354,10.5313,10.3354,10.3843,4.835469,18665499267
2003-03-18,10.6783,10.9232,10.6293,10.6783,4.972371,35685958
2003-03-19,10.6783,10.6783,10.4333,10.5313,4.90392,16992806
2003-03-20,10.6293,10.8742,10.4333,10.7272,4.995141,28973317208
2003-03-21,10.6293,11.0701,10.6293,10.7762,5.017959,28571517605
2003-03-24,10.7762,10.8742,10.6293,10.7762,5.017959,10896186489
2003-03-25,10.5313,10.6783,10.5313,10.6293,4.949554,9603347
2003-03-26,10.7272,10.7272,10.5313,10.6783,4.972371,9170460
2003-03-27,10.6293,10.7762,10.6293,10.6783,4.972371,9392518
2003-03-28,10.7762,10.7762,10.5803,10.6783,4.972371,11879340
2003-03-31,10.6293,10.6293,10.2864,10.3354,4.812699,19024233770
2003-04-01,10.3354,10.4823,10.2864,10.4823,4.881103,11475502011
2003-04-02,10.4333,10.4333,10.1394,10.2374,4.767064,14664525077
2003-04-03,10.4333,10.4333,10.2864,10.2864,4.789882,11170704
2003-04-04,10.2864,10.9232,10.2374,10.8742,5.063592,42477327363
2003-04-07,10.8252,11.0701,10.6293,10.8742,5.063592,34826888546
2003-04-08,10.8742,11.1681,10.8252,10.8742,5.063592,65446783341
2003-04-09,10.8742,10.8742,10.6783,10.8252,5.040775,13818528402
2003-04-10,10.8252,11.0701,10.7272,10.7272,4.995141,22169555717
2003-04-11,10.7762,11.0701,10.7762,10.9721,5.10918,34051716731
2003-04-14,11.0211,11.0701,10.7762,10.7762,5.017959,12319700356
2003-04-15,10.8252,10.9721,10.7762,10.8252,5.040775,14288547424
2003-04-16,11.0211,11.1681,10.9232,11.0701,5.154813,32397278187
2003-04-17,10.9721,11.1191,10.8742,10.8742,5.063592,17779915133
2003-04-18,11.0211,11.462,11.0211,11.413,5.314485,63418096
2003-04-21,11.413,11.462,11.2661,11.413,5.314485,31504588134
2003-04-22,11.413,11.511,11.1681,11.2171,5.223264,30610125785
2003-04-23,11.315,11.364,10.9232,10.9721,5.10918,30867577241
2003-04-24,10.7762,10.8252,10.2374,10.2864,4.789882,47745589361
2003-04-25,10.0415,10.3843,9.94348,10.0415,4.675844,29194387330
