Date,Open,High,Low,Close,Adj Close,Volume
2000-11-22,6.96231,7.48188,6.92767,7.30869,5.126002,9544409
2000-11-23,7.20478,7.55116,7.06622,7.55116,5.29606,9921921
2000-11-24,7.55116,8.0361,7.55116,8.0361,5.636176,10309887
2000-11-27,8.0361,8.3132,7.75899,8.3132,5.830522,15297800
2000-11-28,8.17465,8.45176,8.10537,8.24393,5.781939,8138649
2000-11-29,8.0361,8.65959,8.0361,8.59031,6.024875,16260937
2000-11-30,8.45176,8.59031,8.3132,8.4864,5.951997,11978712
2000-12-01,8.24393,8.45176,8.20929,8.38248,5.879112,3670931
2000-12-04,8.3132,8.38248,8.10537,8.10537,5.684759,3732857
2000-12-05,8.10537,8.41712,7.82827,8.41712,5.903408,11337231
2000-12-06,8.38248,8.4864,8.20929,8.34784,5.854818,6650190
2000-12-07,8.3132,8.34784,8.17465,8.27856,5.806226,4144043
2000-12-08,8.27856,8.62495,8.17465,8.41712,5.903408,9523145
2000-12-11,8.52103,8.59031,8.41712,8.52103,5.976285,5412516
2000-12-12,8.52103,8.72886,8.45176,8.55567,6.00058,7069699
2000-12-13,8.62495,9.10989,8.59031,8.72886,6.122048,18465878
2000-12-14,8.65959,8.79814,8.59031,8.72886,6.122048,8383121
2000-12-15,8.59031,8.69423,8.45176,8.45176,5.927702,2616883
2000-12-18,7.96682,8.14001,7.89754,7.93218,5.563292,3447047
2000-12-19,7.93218,8.14001,7.93218,8.10537,5.684759,4150837
2000-12-20,8.10537,8.24393,7.82827,7.82827,5.490413,3673889
2000-12-21,7.5858,7.5858,7.5858,7.5858,5.320354,989171
2000-12-22,7.34333,7.62044,7.34333,7.48188,5.24747,4180687
2000-12-25,null,null,null,null,null,null
2000-12-26,7.62044,7.62044,7.23941,7.41261,5.198886,2647652
2000-12-27,7.27405,7.34333,7.17014,7.20478,5.053124,1407304
2000-12-28,7.27405,7.68971,7.27405,7.62044,5.344649,4985482
2000-12-29,7.79363,7.96682,7.55116,7.5858,5.320354,6729622
2001-01-01,null,null,null,null,null,null
2001-01-02,7.96682,8.14001,7.79363,8.10537,5.684759,7051433
2001-01-03,8.0361,8.3132,7.93218,8.24393,5.781939,7264971
2001-01-04,8.65959,8.72886,8.45176,8.62495,6.04917,13401821
2001-01-05,8.59031,8.93669,8.3132,8.90206,6.243524,16150958
2001-01-08,8.79814,8.90206,8.59031,8.79814,6.170638,9836172
2001-01-09,8.79814,8.90206,8.72886,8.79814,6.170638,10582641
2001-01-10,8.86742,9.24844,8.86742,9.10989,6.389286,25445411
2001-01-11,9.10989,9.14452,8.69423,8.97133,6.292107,14209488
2001-01-12,9.04061,9.04061,8.52103,8.69423,6.097761,7088785
2001-01-15,8.72886,8.86742,8.55567,8.79814,6.170638,5248046
2001-01-16,8.93669,9.28308,8.79814,9.2138,6.462164,20127981
2001-01-17,9.2138,9.83729,9.2138,9.83729,6.899453,58307357
2001-01-18,9.83729,10.4608,9.62946,10.4608,7.336757,45711707
2001-01-19,null,null,null,null,null,null
2001-01-22,null,null,null,null,null,null
2001-01-23,null,null,null,null,null,null
2001-01-24,null,null,null,null,null,null
2001-01-25,null,null,null,null,null,null
2001-01-26,null,null,null,null,null,null
2001-01-29,10.4608,11.0843,10.149,10.149,7.118074,34034533
2001-01-30,10.1144,10.3915,9.56018,10.0451,7.045202,17430710
2001-01-31,10.2529,10.3222,9.90657,10.2529,7.190944,19461249
2001-02-01,10.1837,10.3915,9.90657,9.90657,6.948043,11165771
2001-02-02,10.1837,10.2529,9.90657,9.94121,6.972339,13800632
2001-02-05,9.97584,9.97584,9.31772,9.56018,6.7051,8344738
2001-02-06,9.52555,9.87193,9.45627,9.56018,6.7051,8876012
2001-02-07,9.62946,9.76801,9.49091,9.52555,6.680812,7936380
2001-02-08,9.6641,9.69874,9.49091,9.62946,6.753691,4203548
2001-02-09,9.62946,9.97584,9.62946,9.62946,6.753691,10317799
2001-02-12,9.35235,9.62946,9.35235,9.42163,6.607927,6897487
2001-02-13,9.49091,9.62946,9.42163,9.52555,6.680812,6791707
2001-02-14,9.83729,9.94121,9.52555,9.56018,6.7051,12773896
2001-02-15,9.59482,9.76801,9.52555,9.6641,6.777985,6668600
2001-02-16,9.76801,9.76801,9.35235,9.35235,6.559336,6886054
2001-02-19,8.79814,9.31772,8.79814,9.00597,6.316402,4884705
2001-02-20,9.00597,9.35235,9.00597,9.14452,6.413574,6028772
2001-02-21,9.07525,9.2138,8.90206,9.00597,6.316402,2933324
2001-02-22,8.86742,9.07525,8.79814,8.93669,6.267811,5128257
2001-02-23,9.14452,9.2138,8.93669,8.97133,6.292107,5322783
2001-02-26,8.97133,9.14452,8.93669,8.97133,6.292107,3727828
2001-02-27,9.07525,9.17916,8.90206,8.93669,6.267811,4833200
2001-02-28,null,null,null,null,null,null
2001-03-01,8.86742,9.00597,8.72886,8.72886,6.122048,3809418
2001-03-02,8.72886,8.93669,8.69423,8.72886,6.122048,3832856
2001-03-05,8.72886,8.93669,8.72886,8.86742,6.219228,4086165
2001-03-06,9.17916,9.17916,8.79814,8.86742,6.219228,6447018
2001-03-07,9.00597,9.07525,8.90206,8.93669,6.267811,5472348
2001-03-08,9.00597,9.04061,8.79814,8.79814,6.170638,2757552
2001-03-09,8.79814,8.90206,8.69423,8.79814,6.170638,2698773
2001-03-12,8.72886,8.72886,8.4864,8.52103,5.976285,3079020
2001-03-13,8.38248,8.65959,8.38248,8.4864,5.951997,3797987
2001-03-14,null,null,null,null,null,null
2001-03-15,8.45176,8.55567,8.38248,8.4864,5.951997,3969730
2001-03-16,8.52103,9.00597,8.52103,8.93669,6.267811,14198053
2001-03-19,9.00597,9.00597,8.55567,8.59031,6.024875,5479649
2001-03-20,8.69423,8.72886,8.52103,8.55567,6.00058,2914423
2001-03-21,8.45176,8.90206,8.45176,8.65959,6.073465,4865516
2001-03-22,8.52103,8.72886,8.52103,8.55567,6.00058,2920080
2001-03-23,8.65959,8.7635,8.55567,8.59031,6.024875,5021694
2001-03-26,8.62495,8.72886,8.59031,8.65959,6.073465,4259606
2001-03-27,8.65959,8.93669,8.65959,8.72886,6.122048,11169662
2001-03-28,8.86742,9.2138,8.7635,9.07525,6.364991,15954355
2001-03-29,9.14452,9.35235,9.00597,9.00597,6.316402,18242599
2001-03-30,9.00597,9.04061,8.65959,8.65959,6.073465,8590237
2001-04-02,8.65959,8.79814,8.45176,8.4864,5.951997,3799439
2001-04-03,8.38248,8.59031,8.3132,8.3132,5.830522,3800367
2001-04-04,8.24393,8.4864,8.24393,8.3132,5.830522,3764915
2001-04-05,null,null,null,null,null,null
2001-04-06,8.45176,8.52103,8.3132,8.3132,5.830522,4630758
2001-04-09,8.3132,8.3132,8.10537,8.10537,5.684759,3691885
2001-04-10,8.10537,8.24393,7.96682,7.96682,5.587586,3285718
2001-04-11,8.07074,8.10537,7.89754,7.96682,5.587586,3169461
2001-04-12,7.96682,8.0361,7.86291,7.93218,5.563292,3048448
2001-04-13,7.96682,8.20929,7.96682,8.00146,5.611882,4751669
2001-04-16,8.00146,8.00146,7.79363,7.82827,5.490413,1566658
2001-04-17,7.79363,7.86291,7.65507,7.72435,5.417528,1564753
2001-04-18,7.68971,7.75899,7.68971,7.72435,5.417528,1720045
2001-04-19,7.89754,8.00146,7.82827,7.86291,5.514708,3578677
2001-04-20,7.89754,7.96682,7.75899,7.82827,5.490413,1914126
2001-04-23,7.89754,7.96682,7.82827,7.86291,5.514708,2270217
2001-04-24,7.82827,7.93218,7.68971,7.75899,5.441823,1721756
2001-04-25,7.75899,7.93218,7.75899,7.79363,5.466118,2821852
2001-04-26,7.75899,7.93218,7.75899,7.79363,5.466118,2821852
2001-04-27,7.93218,7.93218,7.75899,7.75899,5.441823,2209280
2001-04-30,7.82827,7.82827,7.65507,7.65507,5.368937,1552857
2001-05-01,null,null,null,null,null,null
2001-05-02,7.68971,7.82827,7.37797,7.82827,5.490413,7791368
2001-05-03,7.75899,7.89754,7.68971,7.89754,5.538996,3466882
2001-05-04,7.89754,8.27856,7.79363,8.00146,5.611882,10222718
2001-05-07,8.17465,8.17465,8.00146,8.00146,5.611882,3695780
2001-05-08,8.0361,8.14001,7.82827,7.96682,5.587586,3449050
2001-05-09,8.0361,8.07074,7.89754,7.96682,5.587586,3560614
2001-05-10,7.96682,8.07074,7.79363,7.82827,5.490413,2386729
2001-05-11,7.89754,8.17465,7.68971,8.10537,5.684759,6092109
2001-05-14,7.96682,8.14001,7.93218,7.93218,5.563292,2264701
2001-05-15,7.82827,8.0361,7.82827,7.86291,5.514708,2209733
2001-05-16,7.79363,7.96682,7.79363,7.82827,5.490413,2589864
2001-05-17,7.82827,7.96682,7.82827,7.86291,5.514708,2230831
2001-05-18,7.96682,7.96682,7.62044,7.65507,5.368937,2351612
2001-05-21,7.51652,7.62044,7.20478,7.37797,5.174591,3463155
2001-05-22,7.37797,7.41261,7.23941,7.27405,5.101707,1379308
2001-05-23,7.27405,7.51652,7.20478,7.51652,5.271765,2336340
2001-05-24,7.48188,7.55116,7.37797,7.37797,5.174591,2773049
2001-05-25,7.37797,7.44724,7.27405,7.27405,5.101707,1578897
2001-05-28,6.82375,7.1355,6.82375,7.06622,4.955943,1741538
2001-05-29,7.06622,7.17014,7.06622,7.06622,4.955943,1437551
2001-05-30,7.1355,7.1355,6.92767,6.99695,4.907361,1465006
2001-05-31,6.99695,7.23941,6.99695,7.06622,4.955943,2042818
2001-06-01,7.1355,7.1355,6.92767,6.92767,4.85877,1003363
2001-06-04,6.96231,7.10086,6.92767,6.99695,4.907361,1370986
2001-06-05,7.03159,7.27405,6.99695,7.1355,5.004533,5406553
2001-06-06,7.23941,7.34333,7.1355,7.23941,5.077412,4279647
2001-06-07,7.20478,7.20478,7.06622,7.20478,5.053124,3477721
2001-06-08,7.06622,7.30869,7.06622,7.30869,5.126002,4342893
2001-06-11,7.30869,7.34333,7.20478,7.34333,5.150297,1480797
2001-06-12,7.34333,7.48188,7.34333,7.41261,5.198886,2847289
2001-06-13,7.41261,7.62044,7.41261,7.48188,5.24747,3718721
2001-06-14,7.51652,7.51652,7.34333,7.41261,5.198886,2069874
2001-06-15,7.34333,7.48188,7.34333,7.44724,5.223175,1680034
2001-06-18,7.44724,7.51652,7.37797,7.44724,5.223175,1218397
2001-06-19,7.44724,7.55116,7.44724,7.51652,5.271765,2307355
2001-06-20,7.55116,7.55116,7.44724,7.55116,5.29606,1998484
